name_ID;Feature_ID;S2_P_30;S4_P_30;S5_P_30;Average;SD
glycerophosphoryl diester phosphodiesterase;gp032;3471.55;2062.27;3097.6;2877.14;596.0813637
poly-gamma-glutamate hydrolase;gp033;3452.4;2699.96;3534.66;3229.006667;375.5968215
virion structural protein ;gp034;2222.31;1286.34;1732.88;1747.176667;382.2418573
hypothetical protein;gp035;951.36;460.72;804.84;738.9733333;205.6464859
baseplate wedge protein;gp036;1498.06;547.22;967.75;1004.343333;389.0402554
baseplate J-like protein;gp037;2095.56;1203.04;1981.01;1759.87;396.505706
virion structural protein ;gp038;1312.19;556.44;897.92;922.1833333;309.0102993
baseplate protein;gp039;6532.47;6109.19;8892.83;7178.163333;1224.704814
DUF4815 domain-containing protein;gp040;5980.46;4037.66;6537.68;5518.6;1071.60658
hypothetical protein;gp041;55.86;60.46;79.17;65.16333333;10.08067568
virion structural protein ;gp042;1681.89;1327.09;2157.55;1722.176667;340.2285649
methyltransferase subunit G;gp043;2016.58;1643.04;2792.58;2150.733333;478.7890214
tail fiber protein;gp044;4004.76;3623.62;5308.55;4312.31;721.4279951
DNA helicase;gp045;4784.24;3508.25;4965.38;4419.29;648.4331557
HTH DNA binding protein;gp046;4112.65;1418.38;1983.04;2504.69;1160.132679
helicase DnaB-like;gp047;9438.81;6350.47;8917.33;8235.536667;1349.837669
hypothetical protein;gp048;4493.29;3829.85;5680.39;4667.843333;765.4960146
hypothetical protein;gp049;2074.4;1099.45;1918.67;1697.506667;427.6422108
recombination exonuclease;gp050;5543.96;4289.06;7211.13;5681.383333;1196.881267
hypothetical protein;gp051;2601.56;1922.36;1575.56;2033.16;426.1271172
exonuclease;gp052;3968.61;2305.54;3042.5;3105.55;680.4076881
anti-sigma factor;gp053;2127.78;531.52;1008.23;1222.51;669.0532792
DNA primase/helicase;gp054;5378.19;2855.89;4531.13;4255.07;1048.063664
transposase;gp055;7710.16;4898.63;5870.17;6159.653333;1165.911856
hypothetical protein;gp056;12944.07;6930.59;8758.28;9544.313333;2517.124249
hypothetical protein;gp057;17124.34;9258.87;10968.63;12450.61333;3377.732033
RusA-like Holliday junction resolvase;gp058;7437.55;7267.69;7898.28;7534.506667;266.409939
flavoprotein;gp059;5357.57;3579.49;4910.6;4615.886667;755.2192102
ribonucleotide reductase large subunit;gp060;5678.97;4071.22;5624.99;5125.06;745.5031944
ribonucleotide reductase class Ia beta subunit;gp061;7257.43;4844.32;7121.75;6407.833333;1106.957609
hypothetical protein;gp062;4957.74;1451.35;2107.3;2838.796667;1522.061812
transposase;gp063;16905.49;8744.88;8112.57;11254.31333;4004.314529
thioredoxin;gp064;16313.04;8548.9;7245.39;10702.44333;4002.822404
hypothetical protein;gp065;1337.57;456.19;541.26;778.34;396.957488
DNA binding protein;gp066;3059.52;2181.2;2252.15;2497.623333;398.3753453
DNA polymerase;gp067;5732.24;4368.79;6262.96;5454.663333;797.8122593
HNH endonuclease;gp068;668.79;385.3;68.34;374.1433333;245.2595958
hypothetical protein;gp069;13729.63;14043.89;16499.87;14757.79667;1238.494909
hypothetical protein;gp070;24193.13;20790.69;26823.95;23935.92333;2469.773675
UvsX-like recombinase;gp071;10752.48;8778.18;13943.23;11157.96333;2128.026931
hypothetical protein;gp072;7777.48;3590.23;5320.91;5562.873333;1717.978528
RNA polymerase sigma factor;gp073;8450.73;4424.33;5674.64;6183.233333;1682.651603
holin;gp074;769.46;201.33;354.55;441.78;239.9996235
Ig domain containing protein;gp075;3781.83;3638.39;4204.09;3874.77;240.1145632
hypothetical protein;gp076;10572.27;13494.34;14842.35;12969.65333;1782.295874
hypothetical protein;gp077;2165.8;521.46;929.29;1205.516667;699.1372719
metallophosphoesterase ;gp078;11852.86;6054.53;8809.32;8905.57;2368.136503
hypothetical protein;gp079;1742.59;713.06;823.07;1092.906667;461.5855827
hypothetical protein;gp080;6393.85;4970.67;8242.72;6535.746667;1339.571772
hypothetical protein;gp081;7960.7;6689.68;11622.37;8757.583333;2091.112135
hypothetical protein;gp082;7522.71;4198.51;8078.32;6599.846667;1713.084734
hypothetical protein;gp083;5630.09;3958.08;6385.42;5324.53;1014.238648
hypothetical protein;gp084;9406.64;9887.37;12571.7;10621.90333;1392.6128
hypothetical protein;gp085;11681.51;7389.79;14605.28;11225.52667;2963.304978
virion structural protein;gp086;7924.07;4294.51;8103.78;6774.12;1754.883327
DNA binding protein;gp087;15320.62;8538.35;12403.21;12087.39333;2777.841094
hypothetical protein;gp088;14116.76;11108.95;14146.96;13124.22333;1425.066774
hypothetical protein;gp089;4971.22;4565.23;5886.99;5141.146667;552.822261
hypothetical protein;gp090;2982.91;3881.52;3308.76;3391.063333;371.4434565
hypothetical protein;gp091;4368.93;3342.16;3102.14;3604.41;549.4060568
hypothetical protein;gp092;428.83;123.93;137.82;230.1933333;140.571754
hypothetical protein;gp093;2957.62;621.67;703.41;1427.566667;1082.425597
hypothetical protein;gp094;26485.01;19559.22;15365.88;20470.03667;4584.826659
hypothetical protein;gp095;20690.46;15993.13;10896.44;15860.01;3999.499772
hypothetical protein;gp096;4571.5;6158.35;6840.27;5856.706667;950.4633444
hypothetical protein;gp097;7372.3;5735.59;6808.85;6638.913333;678.9029185
hypothetical protein;gp098;5181.91;2823.44;3363.66;3789.67;1008.863577
RNA ligase;gp099;5777.33;3986.77;5007.53;4923.876667;733.3824325
hypothetical protein;gp100;6399.89;3881.74;4773.34;5018.323333;1042.523375
prohibitin family protein;gp101;9597.56;11594.56;10734.09;10642.07;817.8642961
hypothetical protein;gp102;2128.32;2109.43;2251.33;2163.026667;62.91431757
hypothetical protein;gp103;1268.08;511.49;547.48;775.6833333;348.4868989
hypothetical protein;gp104;3135.37;653.87;946.72;1578.653333;1107.238416
hypothetical protein;gp105;70.74;38.68;42.68;50.7;14.26420228
hypothetical protein;gp106;5271.81;4994.49;6086.35;5450.883333;463.3860945
hypothetical protein;gp107;3686;2256.61;2578;2840.203333;612.2918063
hypothetical protein;gp108;3878.24;2088.39;2795.66;2920.763333;736.0384449
hypothetical protein;gp109;1300.42;407.72;820.35;842.83;364.7897434
hypothetical protein;gp110;5094.54;6549.73;6808.59;6150.953333;754.4353178
hypothetical protein;gp111;2145.16;1533.79;1880.54;1853.163333;250.3403425
hypothetical protein;gp112;2756.33;1747.46;2069.03;2190.94;420.7938571
hypothetical protein;gp113;3997.69;2936.14;4290.28;3741.37;581.7781603
hypothetical protein;gp114;5442.65;5006.65;8656.3;6368.533333;1627.458395
hypothetical protein;gp115;1897.93;975.3;1671.53;1514.92;392.6037428
hypothetical protein;gp116;1238.17;227.65;526.91;664.2433333;423.8183581
hypothetical protein;gp117;5175.97;3070.42;4320.98;4189.123333;864.6289516
hypothetical protein;gp118;4866.15;4074.19;6209.97;5050.103333;881.5774399
hypothetical protein;gp119;1154.95;76.36;99.56;443.6233333;503.0730762
hypothetical protein;gp120;3874.5;1640.68;2383.01;2632.73;928.8910976
hypothetical protein;gp121;2434.97;1009.7;1437;1627.223333;597.2086908
hypothetical protein;gp122;2248.89;491.77;631.79;1124.15;797.3629248
hypothetical protein;gp123;740.98;37.44;52.75;277.0566667;328.1028735
hypothetical protein;gp124;1212.06;164.97;204.93;527.32;484.4590462
hypothetical protein;gp125;1368.93;163.06;267.46;599.8166667;545.5128044
hypothetical protein;gp126;5931.75;4730.41;4987.05;5216.403333;516.5634279
hypothetical protein;gp127;972.5;120.01;196.76;429.7566667;385.0544421
hypothetical protein;gp128;2331.85;446.27;593.12;1123.746667;856.3591453
hypothetical protein;gp129;6480.14;1626.66;1217.51;3108.103333;2390.233516
hypothetical protein;gp130;9471.84;10969.76;8174.56;9538.72;1142.115132
hypothetical protein;gp131;6166.89;4082.2;3071;4440.03;1288.969991
hypothetical protein;gp132;454.29;40.62;32.7;175.87;196.8992194
hypothetical protein;gp133;860.18;796.3;598.74;751.74;111.2861585
hypothetical protein;gp134;1357.85;855;760.31;991.0533333;262.2294098
pentapeptide repeat protein;gp135;5973.3;3469.84;4644.39;4695.843333;1022.680653
hypothetical protein;gp136;7052.46;645.27;735.67;2811.133333;2999.297913
hypothetical protein;gp137;11033.56;3612.91;3775.22;6140.563333;3460.505591
hypothetical protein;gp138;5434.51;1586.64;1119.07;2713.406667;1933.555954
hypothetical protein;gp139;97;28.54;5.3;43.61333333;38.92408452
hypothetical protein;gp140;19000.4;15298.34;21859.11;18719.28333;2685.78923
hypothetical protein;gp141;354.31;312.35;411.33;359.33;40.56402676
hypothetical protein;gp142;7479.83;26147.6;14080.32;15902.58333;7729.247136
hypothetical protein;gp143;26462.9;49155.43;39458.3;38358.87667;9296.747754
TreK;gp144;124849.73;273239.92;209116.85;202402.1667;60765.82017
TreO;gp145;62.94;35.61;27.74;42.09666667;15.08459774
hypothetical protein;gp146;4293.54;7858.38;5164.41;5772.11;1517.453025
hypothetical protein;gp147;72773.01;103969.62;93459.43;90067.35333;12959.85486
TreN-like membrane protein;gp148;117.08;26.82;31.62;58.50666667;41.46393239
hypothetical protein;gp149;1427.76;1201.09;2253.56;1627.47;452.2803985
hypothetical protein;gp150;169107.05;293420.25;248626.76;237051.3533;51406.45519
Tre protein;gp151;28988.66;19610.8;23866.2;24155.22;3833.946093
hypothetical protein;gp152;109706.38;161038.84;121329;130691.4067;21977.20571
hypothetical protein;gp153;188.36;103.3;57.16;116.2733333;54.34206801
hypothetical protein;gp154;81404.65;136976.41;102075.65;106818.9033;22933.65746
hypothetical protein;gp155;20.95;12.64;19.13;17.57333333;3.56664486
hypothetical protein;gp156;256.93;176.92;296.19;243.3466667;49.63005429
BofL ;gp157;5313.75;6645.73;5825.57;5928.35;548.6136931
hypothetical protein;gp158;1068.85;150.35;298.55;505.9166667;402.6257678
hypothetical protein;gp159;6884.56;5745.19;7530.81;6720.186667;738.1840966
hypothetical protein;gp160;1036.74;175.2;251.16;487.7;389.4664484
endonuclease ;gp161;140.27;171.28;204.48;172.01;26.21870452
major tail protein;gp162;1657.03;2116.54;2232.36;2001.976667;248.454852
hypothetical protein;gp163;39.56;22.79;33.08;31.81;6.904969225
major tail protein;gp164;48.59;24.83;44.07;39.16333333;10.30180998
transglycosylase;gp165;6772.99;10930.42;10871.79;9525.066667;1946.15927
RinB-like transcriptional activator;gp166;13.19;24.78;22.09;20.02;4.95282411
hypothetical protein;gp167;4804.1;4224.67;4607.67;4545.48;240.6040708
nucleotide kinase;gp168;4914.54;1570.3;2091.1;2858.646667;1469.201871
HNH endonuclease;gp169;13649.18;13539.09;14900.9;14029.72333;617.6522972
MazG-like pyrophosphatase;gp170;11806.81;12092.33;14852.05;12917.06333;1373.198327
hypothetical protein;gp171;790.58;746.5;985.93;841.0033333;104.0466742
virion structural protein;gp172;416.54;60.2;93.37;190.0366667;160.73349
hypothetical protein;gp173;501.83;89.65;183.15;258.21;176.4437414
hypothetical protein;gp174;3784.48;1928.88;3367.33;3026.896667;794.8727281
nucleoside 2-deoxyribosyltransferase ;gp175;11260.7;8345.98;13417.04;11007.90667;2077.95424
HNH endonuclease;gp176;7971.24;4050.54;7046.38;6356.053333;1673.396805
hypothetical protein;gp177;4909.18;2783.11;4059.76;3917.35;873.7863459
hypothetical protein;gp178;189.62;89.39;73.29;117.4333333;51.46512498
PhoH family protein;gp179;8221.09;5413.88;7754.03;7129.666667;1228.136576
hypothetical protein;gp180;3309.31;530.62;1086.15;1642.026667;1200.56339
Rnase H ;gp181;8538.25;7094.35;9126.05;8252.883333;853.6302179
hypothetical protein;gp182;724.09;499.88;602.89;608.9533333;91.63370571
hypothetical protein;gp183;4294.84;2804.34;4072.55;3723.91;656.5363406
transcriptional regulator;gp184;5990.28;3952.4;4805.31;4915.996667;835.6344405
hypothetical protein;gp185;4315.74;2982.4;3162.09;3486.743333;590.7615024
endolysin;gp186;4485.18;3325.74;3608.3;3806.406667;493.6327697
HNH endonuclease;gp187;0;0;0;0;0
holin;gp188;15.87;20;25.11;20.32666667;3.779279767
hypothetical protein;gp189;229.47;314.96;196.46;246.9633333;49.93378972
hypothetical protein;gp190;3038.26;2505.52;2042.73;2528.836667;406.7577046
hypothetical protein;gp191;906.88;1604.69;1821.81;1444.46;390.3241951
"ribosome associated inhibitor A; zinc finger domain";gp192;24989.27;23134.46;16142.28;21422.00333;3809.347179
anti-repressor protein;gp193;7009.65;4153.63;2712.67;4625.316667;1785.660571
hypothetical protein;gp194;103.43;13;4.02;40.15;44.89564864
hypothetical protein;gp195;164.32;82.88;88.4;111.8666667;37.15850493
hypothetical protein;gp196;135.55;99.69;93.9;109.7133333;18.42156405
hypothetical protein;gp197;3.39;0.72;1.34;1.816666667;1.140945027
hypothetical protein;gp198;197.82;192.93;259;216.5833333;30.05947697
hypothetical protein;gp199;302.13;326.85;377.73;335.57;31.47346819
terminase small subunit;gp200;297.58;230;361.51;296.3633333;53.69562511
