name_ID;Feature_ID;S2_P_15;S4_P_15;S5_P_15;Average;SD
hypothetical protein;FDH45_gp072;3876.59;226.46;510.34;1537.796667;1657.832451
RNA polymerase sigma factor;FDH45_gp073;3844.97;190.78;450.48;1495.41;1664.769287
holin;FDH45_gp074;476.12;32.24;58.73;189.03;203.2911395
Ig domain containing protein;FDH45_gp075;1874.67;1365.76;969.95;1403.46;370.3111638
hypothetical protein;FDH45_gp076;10041.82;4796.3;7628.68;7488.933333;2143.75323
hypothetical protein;FDH45_gp077;2141.09;75.7;130.56;782.45;960.9645821
metallophosphoesterase ;FDH45_gp078;8494.39;971.45;1752.26;3739.366667;3377.385699
hypothetical protein;FDH45_gp079;1304.96;68.47;139.88;504.4366667;566.8057001
hypothetical protein;FDH45_gp080;4240.38;2595.6;2230.17;3022.05;874.3114483
hypothetical protein;FDH45_gp081;4331.1;2090.12;2202.74;2874.653333;1030.889094
hypothetical protein;FDH45_gp082;3711.92;845.69;1068.38;1875.33;1301.843521
hypothetical protein;FDH45_gp083;2468.32;760.48;748.64;1325.813333;807.8886718
hypothetical protein;FDH45_gp084;9184.3;10442.38;8341.16;9322.613333;863.3768222
hypothetical protein;FDH45_gp085;9022.45;3594.79;4029.34;5548.86;2462.597415
virion structural protein;FDH45_gp086;5982.95;1938.3;1712.63;3211.293333;1962.021448
DNA binding protein;FDH45_gp087;12285.63;1979.96;4096.55;6120.713333;4444.069939
hypothetical protein;FDH45_gp088;10040.25;3044.8;3733.07;5606.04;3148.025057
hypothetical protein;FDH45_gp089;2075.82;721.35;794.87;1197.346667;621.8991588
hypothetical protein;FDH45_gp090;1796.28;1706.03;1633.67;1711.993333;66.51904005
hypothetical protein;FDH45_gp091;2836.61;1650.37;1357.8;1948.26;639.4130606
hypothetical protein;FDH45_gp092;363.16;18.72;54.21;145.3633333;154.6855435
hypothetical protein;FDH45_gp093;1917.15;74.66;98.81;696.8733333;862.9222302
hypothetical protein;FDH45_gp094;13943.29;5606.9;5461.95;8337.38;3964.418648
hypothetical protein;FDH45_gp095;9847.94;1514.95;2771.09;4711.326667;3668.157515
hypothetical protein;FDH45_gp096;5931.72;5992.68;5970.32;5964.906667;25.17946959
hypothetical protein;FDH45_gp097;8008.69;1497.45;3260.14;4255.426667;2749.78887
hypothetical protein;FDH45_gp098;5939.45;347.84;1190.51;2492.6;2461.45003
RNA ligase;FDH45_gp099;4898.96;764.14;1327.3;2330.133333;1830.926929
hypothetical protein;FDH45_gp100;3159.68;247.99;481.16;1296.276667;1321.059183
prohibitin family protein;FDH45_gp101;3665.29;1354.76;956.38;1992.143333;1194.219824
hypothetical protein;FDH45_gp102;2537.72;98.25;970.42;1202.13;1009.296987
hypothetical protein;FDH45_gp103;1576.59;115.84;189.38;627.27;671.9416541
hypothetical protein;FDH45_gp104;4004.08;86.48;166.72;1419.093333;1828.155111
hypothetical protein;FDH45_gp105;66.81;36.15;26.84;43.26666667;17.07601502
hypothetical protein;FDH45_gp106;5780.66;3241.92;3209.42;4077.333333;1204.506915
hypothetical protein;FDH45_gp107;4103.26;408.04;813.51;1774.936667;1654.673913
hypothetical protein;FDH45_gp108;4048.61;86.97;666.53;1600.703333;1747.02752
hypothetical protein;FDH45_gp109;1183.33;20.08;44.06;415.8233333;542.7974592
hypothetical protein;FDH45_gp110;6591.93;3900.27;5078.82;5190.34;1101.691403
hypothetical protein;FDH45_gp111;2811.68;356.84;830.02;1332.846667;1063.386367
hypothetical protein;FDH45_gp112;3393.37;53.73;736.83;1394.643333;1440.564153
hypothetical protein;FDH45_gp113;4571.95;772.65;1379.57;2241.39;1666.477404
hypothetical protein;FDH45_gp114;4850.91;2833.16;2572.27;3418.78;1018.254438
hypothetical protein;FDH45_gp115;1528.77;149.82;248.48;642.3566667;628.081681
hypothetical protein;FDH45_gp116;1021.88;25.05;58.17;368.3666667;462.3014826
hypothetical protein;FDH45_gp117;2939.88;338.32;523.68;1267.293333;1185.115803
hypothetical protein;FDH45_gp118;2508.02;407.58;599.43;1171.676667;948.1778082
hypothetical protein;FDH45_gp119;1315.23;49.39;39.3;467.9733333;599.1150955
hypothetical protein;FDH45_gp120;3249.26;185.14;592.42;1342.273333;1358.655674
hypothetical protein;FDH45_gp121;1852.25;76.72;287.48;738.8166667;792.0039079
hypothetical protein;FDH45_gp122;1741.37;92.23;106.48;646.6933333;774.0751553
hypothetical protein;FDH45_gp123;436.42;6.37;10.65;151.1466667;201.726276
hypothetical protein;FDH45_gp124;616.19;13.07;14.73;214.6633333;283.9230376
hypothetical protein;FDH45_gp125;597.9;14.98;13.48;208.7866667;275.1453581
hypothetical protein;FDH45_gp126;8437.08;1765.59;3482.84;4561.836667;2828.470736
hypothetical protein;FDH45_gp127;1409.98;44.3;46.46;500.2466667;643.2792135
hypothetical protein;FDH45_gp128;2471.74;47.31;79.02;866.0233333;1135.486941
hypothetical protein;FDH45_gp129;6947.42;247.77;280.69;2491.96;3150.514645
hypothetical protein;FDH45_gp130;9225.68;7227.48;8553.78;8335.646667;830.2158046
hypothetical protein;FDH45_gp131;7201.03;155.47;1534.13;2963.543333;3048.75885
hypothetical protein;FDH45_gp132;691.52;62.18;27.58;260.4266667;305.1561202
hypothetical protein;FDH45_gp133;1253.16;767.67;681.85;900.8933333;251.5420726
hypothetical protein;FDH45_gp134;1959.48;460.56;648.87;1022.97;666.6600329
pentapeptide repeat protein;FDH45_gp135;7733.05;1806.62;2710.56;4083.41;2606.937025
hypothetical protein;FDH45_gp136;7925.81;425;293.06;2881.29;3567.42097
hypothetical protein;FDH45_gp137;10243.9;196.89;826.5;3755.763333;4595.000199
hypothetical protein;FDH45_gp138;4206.94;356.07;347.1;1636.703333;1817.435466
hypothetical protein;FDH45_gp139;187.54;47.84;24.91;86.76333333;71.8721023
hypothetical protein;FDH45_gp140;18015.44;8785.74;9786.48;12195.88667;4135.276765
hypothetical protein;FDH45_gp141;712.56;182.85;378.28;424.5633333;218.7156163
hypothetical protein;FDH45_gp142;16303.89;75585.85;44878.47;45589.40333;24206.97923
hypothetical protein;FDH45_gp143;50783.9;136190.42;101417.75;96130.69;35066.91857
TreK;FDH45_gp144;188422.7;592623.1;454400.28;411815.36;167739.0779
TreO;FDH45_gp145;122.05;52.75;57.81;77.53666667;31.54339374
hypothetical protein;FDH45_gp146;7423.78;11296.58;14665.56;11128.64;2958.82829
hypothetical protein;FDH45_gp147;151366.49;131372.67;166023.1;149587.42;14201.80487
TreN-like membrane protein;FDH45_gp148;213.16;5.26;48.2;88.87333333;89.6152611
hypothetical protein;FDH45_gp149;3417.74;53.26;1329.06;1600.02;1386.841954
hypothetical protein;FDH45_gp150;276937.55;420517.27;485288.62;394247.8133;87063.59881
Tre protein;FDH45_gp151;54658.4;25602.23;42718.52;40993.05;11924.71352
hypothetical protein;FDH45_gp152;166526.4;233841.39;244507.7;214958.4967;34522.39402
hypothetical protein;FDH45_gp153;173.51;137.37;148.11;152.9966667;15.1533172
hypothetical protein;FDH45_gp154;95024.7;217481.42;189177.29;167227.8033;52346.58245
hypothetical protein;FDH45_gp155;31.16;5.42;6.68;14.42;11.84813909
hypothetical protein;FDH45_gp156;187.95;66.87;60.56;105.1266667;58.62156846
BofL ;FDH45_gp157;3584.43;2621.61;2028.45;2744.83;641.1738279
hypothetical protein;FDH45_gp158;999.27;55.55;50.31;368.3766667;446.1140833
hypothetical protein;FDH45_gp159;6370.13;2782.86;2845.88;3999.623333;1676.398774
hypothetical protein;FDH45_gp160;1223.58;88.89;137.59;483.3533333;523.7967551
endonuclease ;FDH45_gp161;73.7;72.47;39.04;61.73666667;16.05682063
major tail protein;FDH45_gp162;801.54;823.66;673.99;766.3966667;65.96245211
hypothetical protein;FDH45_gp163;13.02;4.01;5.18;7.403333333;4.000202773
major tail protein;FDH45_gp164;14.26;0;2.39;5.55;6.235708995
transglycosylase;FDH45_gp165;2694.97;3135.43;1917.46;2582.62;503.5405459
RinB-like transcriptional activator;FDH45_gp166;5.8;0;7.12;4.306666667;3.092586117
hypothetical protein;FDH45_gp167;2736.26;362.54;705.31;1268.036667;1047.578998
nucleotide kinase;FDH45_gp168;3376.84;43.6;241.81;1220.75;1526.731775
HNH endonuclease;FDH45_gp169;9494.72;6134.19;4497.13;6708.68;2080.30535
MazG-like pyrophosphatase;FDH45_gp170;9606.43;11108.67;7818.48;9511.193333;1344.901502
hypothetical protein;FDH45_gp171;1061.91;329.3;622.92;671.3766667;301.0430638
virion structural protein;FDH45_gp172;163.86;2.9;4.08;56.94666667;75.60067783
hypothetical protein;FDH45_gp173;258.2;4.26;3.43;88.63;119.9045757
hypothetical protein;FDH45_gp174;1881.96;140.45;226.66;749.69;801.4089908
nucleoside 2-deoxyribosyltransferase ;FDH45_gp175;5758.7;2357.04;1869.6;3328.446667;1729.932154
HNH endonuclease;FDH45_gp176;5198.11;990.25;1214.24;2467.533333;1932.973457
hypothetical protein;FDH45_gp177;4017.93;610.69;1107.86;1912.16;1502.774095
hypothetical protein;FDH45_gp178;130.38;25.16;19.94;58.49333333;50.87620094
PhoH family protein;FDH45_gp179;5763.82;2234.03;1702.46;3233.436667;1802.363546
hypothetical protein;FDH45_gp180;3159.53;41.48;81.28;1094.096667;1460.572297
Rnase H ;FDH45_gp181;8014.82;2552.22;3187.32;4584.786667;2439.219069
hypothetical protein;FDH45_gp182;746.85;98.25;288.39;377.83;272.2377946
hypothetical protein;FDH45_gp183;5052.62;1359.55;2005.37;2805.846667;1610.437555
transcriptional regulator;FDH45_gp184;7709.19;1075.22;3021.11;3935.173333;2784.36388
hypothetical protein;FDH45_gp185;5962.82;174.27;1081.51;2406.2;2542.037303
endolysin;FDH45_gp186;3438.66;1968.27;1582.12;2329.683333;799.854108
HNH endonuclease;FDH45_gp187;4.08;0;0;1.36;1.923330445
holin;FDH45_gp188;6.85;6.9;6.8;6.85;0.040824829
hypothetical protein;FDH45_gp189;100.81;117.05;89.44;102.4333333;11.33003187
hypothetical protein;FDH45_gp190;775.28;360.1;329.09;488.1566667;203.4211746
hypothetical protein;FDH45_gp191;217.36;68.27;174.56;153.3966667;62.67839624
"ribosome associated inhibitor A; zinc finger domain";FDH45_gp192;17857.18;8340.34;8427.45;11541.65667;4465.890973
anti-repressor protein;FDH45_gp193;8509.05;3818.69;2972.45;5100.063333;2435.148607
hypothetical protein;FDH45_gp194;118.24;11.05;2.6;43.96333333;52.63470359
hypothetical protein;FDH45_gp195;118.07;9.29;36.83;54.73;46.17776954
hypothetical protein;FDH45_gp196;107.2;88.36;91.68;95.74666667;8.2113634
hypothetical protein;FDH45_gp197;1.41;0;2.6;1.336666667;1.062711417
hypothetical protein;FDH45_gp198;145.34;65.55;89.33;100.0733333;33.44822301
hypothetical protein;FDH45_gp199;276.58;155.33;137.3;189.7366667;61.84708904
terminase small subunit;FDH45_gp200;226.99;170.41;129.77;175.7233333;39.86732775
