name_ID;Feature_ID;E1_B_15;E2_B_15;E4_B_15;Average;sd
hypothetical protein;gp084;5488.39;8633.66;6401.02;6841.023333;1321.207287
hypothetical protein;gp085;7413.69;10416.17;8468.5;8766.12;1243.692027
virion structural protein;gp086;6611.08;8998.87;7183.73;7597.893333;1017.851895
DNA binding protein;gp087;11871.96;16363.86;14513.33;14249.71667;1843.259865
hypothetical protein;gp088;10859.01;14253.96;12660.75;12591.24;1386.853779
hypothetical protein;gp089;1934.73;1871.92;2079.71;1962.12;87.01275807
hypothetical protein;gp090;1920.7;1890.68;2115.03;1975.47;99.44192711
hypothetical protein;gp091;3402.82;3935.84;3747.61;3695.423333;220.7112234
hypothetical protein;gp092;614.9;687.63;645.44;649.3233333;29.81860083
hypothetical protein;gp093;3290.26;3350.03;3721.48;3453.923333;190.7582076
hypothetical protein;gp094;18117.96;22165.23;20898.41;20393.86667;1690.369111
hypothetical protein;gp095;15044.96;15811.8;15330.89;15395.88333;316.4163886
hypothetical protein;gp096;4593.41;7464.4;5658.62;5905.476667;1185.003391
hypothetical protein;gp097;9057;13183.66;11303.51;11181.39;1686.913485
hypothetical protein;gp098;8985.15;11128.02;11343.75;10485.64;1064.655668
RNA ligase;gp099;9651.26;13056.08;11931.17;11546.17;1416.420031
hypothetical protein;gp100;13620.48;14505.62;15998.65;14708.25;981.3994514
prohibitin family protein;gp101;23790.72;24845.96;26060.42;24899.03333;927.3608095
hypothetical protein;gp102;1651.09;2504.58;2167.24;2107.636667;350.9755101
hypothetical protein;gp103;1212.08;1420.13;1459.45;1363.886667;108.5371323
hypothetical protein;gp104;4171.52;4918.55;4928.85;4672.973333;354.6059848
hypothetical protein;gp105;76.29;91.75;86.54;84.86;6.422341214
hypothetical protein;gp106;5328.1;7596.21;6574.53;6499.613333;927.4661263
hypothetical protein;gp107;4337.46;6270.17;5649;5418.876667;805.6300009
hypothetical protein;gp108;5159.78;7040.18;6321.93;6173.963333;774.7673375
hypothetical protein;gp109;1906.05;2746.83;2284.33;2312.403333;343.8205308
hypothetical protein;gp110;5488.44;9016.43;6677.66;7060.843333;1465.560293
hypothetical protein;gp111;3150.88;4687.09;3940.77;3926.246667;627.2391816
hypothetical protein;gp112;5076.59;6777.45;6217.18;6023.74;707.7172035
hypothetical protein;gp113;8308.23;11771;10366.89;10148.70667;1422.063523
hypothetical protein;gp114;8937.26;12693.12;11939.87;11190.08333;1622.396606
hypothetical protein;gp115;3666.27;4471.03;4139.63;4092.31;330.2413776
hypothetical protein;gp116;3576.97;4143.8;4447.4;4056.056667;360.7272891
hypothetical protein;gp117;9775.46;11201.4;11757.03;10911.29667;834.5756903
hypothetical protein;gp118;9716.18;11402.05;11513.42;10877.21667;822.2349321
hypothetical protein;gp119;3109.76;3475.06;3894.64;3493.153333;320.6812333
hypothetical protein;gp120;6454.74;7327.92;7726.4;7169.686667;531.0732088
hypothetical protein;gp121;4244.37;4779.86;5019.26;4681.163333;323.9541141
hypothetical protein;gp122;4959.89;5460.74;6383.35;5601.326667;589.5665363
hypothetical protein;gp123;1841;1750.25;2127.9;1906.383333;160.9577912
hypothetical protein;gp124;2440.57;2457.45;2776.66;2558.226667;154.6093452
hypothetical protein;gp125;2525.25;2564.29;2629.8;2573.113333;43.13594042
hypothetical protein;gp126;4074.8;6371.45;5294.53;5246.926667;938.2074624
hypothetical protein;gp127;1253.63;1642;1600.5;1498.71;174.1239354
hypothetical protein;gp128;2448.19;2677.56;2624.89;2583.546667;98.09723963
hypothetical protein;gp129;9502.46;8385.91;9217.26;9035.21;473.6578424
hypothetical protein;gp130;7381.65;9515.87;8370.43;8422.65;872.0737539
hypothetical protein;gp131;6383.29;7473;6609.58;6821.956667;469.53513
hypothetical protein;gp132;474.46;504.81;528.68;502.65;22.18785403
hypothetical protein;gp133;1604.1;2200.93;1827.45;1877.493333;246.2109714
hypothetical protein;gp134;2380.8;3157.18;2750.24;2762.74;317.0790265
pentapeptide repeat protein;gp135;3494.55;5229.79;4166.81;4297.05;714.3697957
hypothetical protein;gp136;7289.86;8543.18;10255.4;8696.146667;1215.498793
hypothetical protein;gp137;6871.86;8592.22;8559.64;8007.906667;803.4164075
hypothetical protein;gp138;3183.09;4195.17;3647.3;3675.186667;413.6501994
hypothetical protein;gp139;56.42;53.38;52.47;54.09;1.688924707
hypothetical protein;gp140;10471.97;15911.74;13246.38;13210.03;2220.925544
hypothetical protein;gp141;227.82;428.24;326.42;327.4933333;81.82464231
hypothetical protein;gp142;3643.07;2528.1;4014.04;3395.07;631.4704643
hypothetical protein;gp143;1773.49;1644.04;1883.62;1767.05;97.9140756
TreK;gp144;8869.61;7226.59;10928.88;9008.36;1514.634496
TreO;gp145;6.42;4;5.75;5.39;1.020228733
hypothetical protein;gp146;326.47;257;462.71;348.7266667;85.44265302
hypothetical protein;gp147;6239.28;5868.67;7026.97;6378.306667;482.9844946
TreN-like membrane protein;gp148;8.65;12.21;11.8;10.88666667;1.59039478
hypothetical protein;gp149;147.47;183.68;205.11;178.7533333;23.78790215
hypothetical protein;gp150;9507.01;8629.7;11511.91;9882.873333;1206.299729
Tre protein;gp151;3548.11;2642.37;4462.8;3551.093333;743.1904294
hypothetical protein;gp152;7945.76;6817.44;8738.92;7834.04;788.4086785
hypothetical protein;gp153;15.36;6.89;18.86;13.70333333;5.025178825
hypothetical protein;gp154;7976.79;5803.9;8229.21;7336.633333;1088.694193
hypothetical protein;gp155;41.2;38.09;34.4;37.89666667;2.779452384
hypothetical protein;gp156;776.01;731.7;868.92;792.21;57.17902937
BofL ;gp157;7026.59;7559.13;6728.02;7104.58;343.751643
hypothetical protein;gp158;2779.49;2752.31;2939.96;2823.92;82.79955435
hypothetical protein;gp159;9364.6;11500.49;10231.17;10365.42;877.1255402
hypothetical protein;gp160;2821.8;2623.63;2872.99;2772.806667;107.5340642
endonuclease ;gp161;1073.12;739.6;758.24;856.9866667;153.0186824
major tail protein;gp162;13659.62;9728.69;10072.05;11153.45333;1777.6628
hypothetical protein;gp163;193.14;159.79;126.05;159.66;27.38953206
major tail protein;gp164;219.43;174.48;123.67;172.5266667;39.11824837
transglycosylase;gp165;25243.41;25152.15;19236.46;23210.67333;2810.440157
RinB-like transcriptional activator;gp166;19.4;24.85;29.06;24.43666667;3.954493927
hypothetical protein;gp167;6455.18;6542.81;5192.2;6063.396667;617.0669754
nucleotide kinase;gp168;9601.03;8468.95;8108.11;8726.03;636.0136929
HNH endonuclease;gp169;17940.33;15935.56;15436.46;16437.45;1082.054042
MazG-like pyrophosphatase;gp170;19314.43;16643.58;17921.1;17959.70333;1090.71157
hypothetical protein;gp171;1603.21;1572.91;1587.34;1587.82;12.37457878
virion structural protein;gp172;714.99;693.82;575.55;661.4533333;61.3545936
hypothetical protein;gp173;1096.47;1132.21;1057.2;1095.293333;30.63400543
hypothetical protein;gp174;5772.49;5716.45;5475.01;5654.65;129.0685027
nucleoside 2-deoxyribosyltransferase ;gp175;12295.17;14092.84;12461.65;12949.88667;811.0428017
HNH endonuclease;gp176;8653.85;9408.73;8094.36;8718.98;538.5620125
hypothetical protein;gp177;5454.61;6449.39;5071.71;5658.57;580.6320159
hypothetical protein;gp178;237.42;276.49;211.61;241.84;26.67090675
PhoH family protein;gp179;9616.45;10374.5;10056.09;10015.68;310.788971
hypothetical protein;gp180;7048.52;6973.06;7725.38;7248.986667;338.2666689
Rnase H ;gp181;12305.88;14977.82;13665.74;13649.81333;1090.873071
hypothetical protein;gp182;1012.86;1205.35;1121.78;1113.33;78.81054033
hypothetical protein;gp183;6431.4;7792.33;7047.84;7090.523333;556.4165205
transcriptional regulator;gp184;9690.65;10917.35;11726.05;10778.01667;836.7690336
hypothetical protein;gp185;8023.34;8066.23;9238.59;8442.72;563.0374059
endolysin;gp186;3109.52;3874.69;2750.21;3244.806667;468.928338
HNH endonuclease;gp187;372.77;0;527.27;300.0133333;221.319622
holin;gp188;73.5;57.42;55.09;62.00333333;8.184832857
hypothetical protein;gp189;990.4;791.84;850.9;877.7133333;83.24956269
hypothetical protein;gp190;10479.09;7674.69;9561.83;9238.536667;1167.491263
hypothetical protein;gp191;2235.65;1800.98;2307.18;2114.603333;223.6795798
"ribosome associated inhibitor A; zinc finger domain";gp192;7859.09;9574.33;7578.65;8337.356667;882.1333682
anti-repressor protein;gp193;6941.39;6738.64;6396.58;6692.203333;224.8284635
hypothetical protein;gp194;1161.43;396.81;867.07;808.4366667;314.8961066
hypothetical protein;gp195;392.8;261.02;376.47;343.43;58.65278226
hypothetical protein;gp196;2126.49;1195.67;2042.1;1788.086667;420.3161891
hypothetical protein;gp197;89.34;59.85;95.54;81.57666667;15.5701859
hypothetical protein;gp198;1204.84;699.7;1099.24;1001.26;217.5494813
hypothetical protein;gp199;1862.58;1030.95;1653.01;1515.513333;353.1582405
terminase small subunit;gp200;1590.97;905.52;1303.96;1266.816667;281.0636298
